resume,assessment,interview,label,group,gender,ageRange,ethnicity
70.288,71.271,74.425,1,B,male,35-44,group2
73.856,60.559,77.264,0,B,male,45+,group1
64.949,93.321,68.539,1,A,female,18-24,group2
56.472,52.825,93.242,0,B,female,35-44,group2
89.837,28.131,92.72,1,B,female,35-44,group1
77.54,78.856,46.032,1,B,female,25-34,group2
67.675,60.315,46.686,1,A,male,45+,group1
74.692,100,62.074,1,A,male,45+,group3
61.135,55.839,91.254,1,A,female,35-44,group2
47.259,96.872,72.354,1,A,female,45+,group2
46.599,51.551,66.933,0,B,female,18-24,group1
59.401,58.591,58.291,0,A,female,45+,group1
79.262,83.373,82.646,1,A,female,35-44,group3
79.563,58.686,57.765,1,B,male,25-34,group1
61.144,91.727,73.324,1,A,male,45+,group3
77.557,45.711,67.027,0,B,male,25-34,group1
41.992,63.904,84.435,1,B,male,18-24,group3
53.07,97.577,64.697,1,A,male,18-24,group3
56.099,73.52,86.891,1,B,female,35-44,group2
81.343,74.183,75.69,1,A,female,18-24,group1
53.421,83.288,99.154,1,B,male,35-44,group1
83.903,86.349,76.659,0,B,female,45+,group3
67.543,70.16,80.77,0,B,male,18-24,group3
73.829,56.139,76.051,1,A,female,25-34,group3
46.749,52.521,65.66,1,A,male,18-24,group3
51.858,100,100,1,A,male,35-44,group3
48.689,78.342,75.699,1,B,male,35-44,group2
55.444,84.041,66.361,1,A,male,35-44,group2
90.233,93.401,100,1,A,male,18-24,group3
69.904,41.651,68.712,0,B,female,35-44,group3
74.985,76.737,78.164,1,A,female,45+,group2
60.245,90.49,58.755,0,B,female,45+,group3
59.356,33.143,86.577,1,B,female,45+,group3
80.938,45.847,91.074,1,B,female,18-24,group2
70.693,47.588,68.63,1,A,female,18-24,group3
72.368,92.735,77.087,1,A,male,25-34,group1
64.037,82.465,73.919,1,B,female,25-34,group2
72.904,49.557,78.898,0,A,male,35-44,group1
51.519,79.322,25.66,1,A,male,25-34,group2
47.505,46.806,98.472,1,A,female,35-44,group2
73.372,80.401,56.566,1,B,male,35-44,group2
45.283,96.924,77.193,1,B,male,25-34,group2
67.219,51.596,64.265,0,B,female,18-24,group1
61.767,70.137,58.743,1,B,female,35-44,group3
42.471,56.376,51.356,0,B,female,25-34,group1
61.254,72.062,80.039,0,A,male,18-24,group2
73.591,62.743,58.977,0,B,female,45+,group3
48.046,82.529,55.0,1,B,female,18-24,group2
81.195,48.536,76.418,1,B,female,35-44,group2
85.371,57.934,85.287,1,A,female,25-34,group3
59.707,55.643,86.359,0,A,male,35-44,group2
65.428,77.219,66.854,1,B,male,18-24,group3
37.953,95.872,55.075,1,B,female,18-24,group3
53.441,78.569,63.278,1,A,female,45+,group2
58.941,91.22,62.537,0,A,female,25-34,group1
66.715,23.96,57.975,1,A,female,35-44,group1
80.069,52.271,57.148,0,B,female,18-24,group2
77.16,67.81,72.373,0,B,female,25-34,group1
62.212,49.314,63.963,1,B,female,25-34,group1
51.151,55.223,70.409,1,B,male,25-34,group2
78.802,61.068,65.528,1,A,male,18-24,group2
58.516,55.973,83.801,1,A,male,45+,group3
59.53,87.844,69.111,1,B,female,45+,group3
46.547,67.465,66.351,0,A,female,45+,group2
71.901,19.065,75.559,0,B,female,45+,group3
84.003,53.881,100,1,B,male,25-34,group2
66.659,56.308,75.925,0,A,male,45+,group1
30.898,54.233,72.67,0,A,male,45+,group2
57.615,88.263,67.991,0,A,male,18-24,group2
58.703,50.713,82.937,1,A,female,45+,group3
72.041,25.552,51.164,1,A,male,45+,group1
58.606,54.605,91.169,0,A,female,18-24,group2
69.305,64.627,70.212,1,B,female,18-24,group1
65.504,70.46,90.106,1,B,female,45+,group1
77.536,55.197,52.087,1,B,female,18-24,group1
46.571,59.12,76.377,1,A,female,18-24,group3
100,100,76.055,1,B,male,18-24,group1
79.11,77.656,76.521,1,A,male,35-44,group1
84.57,73.056,89.973,1,B,female,45+,group3
89.988,86.881,76.515,0,B,female,25-34,group3
57.181,55.079,24.985,1,A,male,35-44,group2
59.722,78.303,42.866,1,A,male,45+,group2
90.169,68.788,90.053,0,B,female,18-24,group1
88.966,45.896,90.546,1,B,male,18-24,group2
61.246,85.004,69.304,1,A,male,35-44,group1
69.587,76.75,94.9,0,B,male,18-24,group1
74.116,72.88,42.825,0,B,male,18-24,group3
75.846,56.176,91.422,1,B,male,18-24,group3
76.323,69.137,76.878,1,A,female,35-44,group2
55.74,88.336,86.38,1,A,male,25-34,group3
96.007,84.117,51.785,1,B,female,35-44,group2
89.731,71.8,46.301,0,B,female,18-24,group2
76.27,78.521,41.664,1,B,female,45+,group3
71.375,60.732,63.307,0,B,female,18-24,group3
66.205,70.01,86.41,1,B,male,18-24,group1
41.537,51.241,64.329,0,A,female,35-44,group1
65.662,80.562,63.469,1,B,female,25-34,group2
70.895,57.214,67.619,1,B,female,18-24,group3
74.958,42.823,75.741,0,B,male,25-34,group3
80.164,38.45,73.84,1,B,female,25-34,group1
77.298,86.865,47.767,1,A,female,45+,group2
51.251,58.801,49.693,0,B,male,35-44,group1
50.705,68.93,61.183,1,B,female,18-24,group3
44.921,64.135,83.289,1,A,female,25-34,group3
85.845,68.864,60.734,1,B,male,45+,group2
82.301,78.233,47.226,1,B,female,18-24,group2
58.047,57.841,70.327,1,A,male,45+,group2
77.409,38.484,56.735,1,A,male,25-34,group3
55.303,39.168,63.681,1,B,female,25-34,group3
38.406,85.12,100,1,B,male,18-24,group2
64.506,59.934,71.547,1,A,male,35-44,group2
76.57,47.447,67.284,1,A,female,25-34,group2
36.017,47.993,58.726,1,A,female,35-44,group2
100,83.252,68.786,1,B,female,18-24,group3
68.644,64.852,33.888,1,B,female,35-44,group3
51.65,59.67,56.608,1,B,female,25-34,group2
45.359,57.579,61.071,1,B,male,45+,group2
69.625,91.802,69.667,1,B,male,25-34,group2
85.569,47.55,77.47,1,A,female,25-34,group3
66.646,74.171,85.109,1,B,male,45+,group3
76.556,87.551,46.069,1,B,male,35-44,group1
53.422,88.108,67.526,0,B,male,35-44,group1
65.571,43.163,84.798,1,A,male,18-24,group1
47.386,46.889,54.874,0,A,female,25-34,group2
71.209,45.075,54.292,0,B,female,35-44,group3
66.569,78.743,88.743,1,B,male,35-44,group2
58.4,66.839,100,0,B,male,18-24,group3
83.537,70.032,74.004,0,A,male,45+,group1
69.697,62.628,76.629,1,B,female,35-44,group2
74.392,63.025,91.694,1,A,male,35-44,group1
43.482,46.116,82.243,1,A,male,18-24,group1
45.203,56.959,62.671,0,B,female,45+,group3
84.905,71.514,54.254,0,B,female,35-44,group1
70.708,63.246,87.16,1,A,male,45+,group2
60.111,85.269,76.095,1,B,male,45+,group3
66.018,60.872,95.003,1,B,male,35-44,group2
55.062,37.762,49.097,0,B,male,25-34,group3
64.989,73.139,70.477,1,B,female,18-24,group1
65.823,76.533,76.081,0,B,male,25-34,group3
69.043,70.888,64.205,1,A,female,18-24,group1
61.5,90.427,83.68,0,A,female,25-34,group2
76.055,67.784,58.927,1,B,male,35-44,group1
80.061,61.114,54.835,0,B,male,18-24,group2
74.79,84.05,88.825,1,B,female,45+,group1
73.968,66.495,66.588,1,A,male,35-44,group1
40.547,57.757,60.528,0,B,female,18-24,group1
39.611,78.569,74.744,1,B,female,45+,group2
40.459,26.61,56.576,1,A,male,45+,group1
91.088,64.513,51.813,1,B,male,18-24,group3
91.47,20.61,57.698,0,B,male,25-34,group1
61.075,45.733,81.287,1,B,male,18-24,group3
56.658,78.284,69.765,1,A,female,18-24,group3
73.288,66.41,70.974,1,B,male,45+,group1
63.399,74.681,71.777,1,B,female,25-34,group1
66.383,62.537,49.595,0,B,female,25-34,group3
42.319,95.554,80.099,1,A,male,25-34,group3
52.132,94.196,68.924,1,A,female,25-34,group2
51.821,51.431,63.012,1,A,male,25-34,group1
61.426,72.883,70.738,1,A,male,25-34,group3
89.116,66.895,70.819,0,B,female,18-24,group2
74.212,72.157,67.989,1,B,male,45+,group3
85.355,20.897,70.024,0,A,female,25-34,group3
58.234,60.832,100,1,B,male,45+,group1
64.31,73.317,72.241,1,A,male,25-34,group2
65.715,60.315,62.963,1,B,male,25-34,group1
57.65,62.535,38.204,1,B,male,18-24,group1
88.22,47.373,59.615,1,A,male,18-24,group1
60.182,66.843,80.2,1,B,female,18-24,group2
49.889,68.756,76.052,0,A,male,25-34,group1
62.314,83.798,86.882,1,B,female,45+,group2
88.329,69.675,68.701,1,B,female,35-44,group1
75.622,83.512,57.531,0,B,female,35-44,group1
79.548,48.674,88.729,0,A,female,18-24,group2
67.417,74.46,62.417,1,B,female,45+,group3
72.54,64.361,46.453,1,A,female,18-24,group2
73.019,57.506,70.173,0,B,male,18-24,group2
61.442,89.93,83.474,1,B,female,25-34,group2
77.872,70.013,41.761,1,B,female,45+,group2
98.572,81.369,68.203,1,B,male,18-24,group3
71.579,86.514,54.453,1,B,female,18-24,group3
53.236,83.699,64.229,1,B,female,18-24,group2
75.427,65.631,76.856,1,A,female,25-34,group2
83.173,52.256,65.853,1,A,female,35-44,group2
70.493,58.229,49.583,1,B,male,18-24,group2
95.406,53.98,74.807,0,B,male,35-44,group3
65.86,76.898,63.092,0,B,female,18-24,group2
61.884,45.073,82.005,0,A,female,35-44,group1
54.279,53.868,82.452,0,B,male,25-34,group2
76.06,55.56,89.052,1,B,female,18-24,group1
60.537,53.84,55.142,0,B,male,45+,group3
73.863,77.314,32.978,0,B,male,25-34,group2
72.203,54.555,72.309,0,A,female,35-44,group2
59.67,40.03,75.882,1,B,female,25-34,group3
77.691,56.668,76.929,0,B,female,45+,group2
26.698,80.606,63.033,1,B,male,25-34,group2
66.291,91.551,100,1,B,female,45+,group2
94.315,59.277,90.744,0,B,male,45+,group2
67.116,59.896,70.527,0,B,male,18-24,group3
59.651,56.451,62.226,0,A,male,18-24,group2
79.106,87.158,72.458,1,A,female,35-44,group1
58.993,87.346,98.698,1,A,male,25-34,group2
55.819,54.725,78.213,1,A,male,35-44,group2
88.046,45.813,56.944,1,B,female,25-34,group3
76.747,56.815,65.5,1,B,male,25-34,group3
90.814,66.068,68.732,1,B,female,45+,group1
77.815,59.869,85.763,0,A,female,25-34,group2
67.273,52.19,72.074,1,B,male,45+,group3
59.054,81.836,97.545,1,B,female,35-44,group2
73.942,64.762,69.486,1,A,female,35-44,group2
46.902,41.517,68.56,0,B,male,18-24,group2
44.134,71.706,67.117,1,A,female,25-34,group2
72.119,23.486,63.922,0,B,female,35-44,group2
61.854,79.089,84.115,1,A,female,25-34,group3
44.262,86.681,71.37,1,B,female,35-44,group1
75.417,71.258,71.633,0,B,male,35-44,group1
78.169,72.099,74.965,1,A,male,45+,group1
81.737,30.506,50.56,1,B,male,35-44,group1
52.354,84.132,85.591,1,B,female,18-24,group1
84.709,62.758,70.557,1,B,female,25-34,group1
60.238,89.895,85.576,1,B,male,18-24,group1
81.06,69.097,76.294,1,A,male,18-24,group2
68.465,60.323,74.907,0,A,female,25-34,group3
85.105,40.237,57.408,1,B,male,35-44,group1
55.637,79.228,90.672,1,A,female,25-34,group2
64.722,54.088,66.916,0,A,female,45+,group2
61.239,66.238,76.783,0,B,male,25-34,group3
85.819,88.002,64.986,1,A,male,18-24,group3
48.4,59.889,88.541,1,B,male,18-24,group2
84.835,63.205,88.469,0,B,female,45+,group2
41.406,56.526,70.346,1,B,female,18-24,group3
50.652,79.063,95.594,0,A,female,25-34,group2
89.739,75.668,95.681,1,A,male,25-34,group2
70.535,34.455,50.431,0,A,male,45+,group2
53.077,50.391,61.394,1,B,male,45+,group3
81.346,79.493,74.021,1,B,female,45+,group1
100,76.149,71.471,1,A,female,45+,group3
48.67,43.732,61.009,0,B,female,35-44,group3
51.563,43.662,70.219,0,B,female,35-44,group3
57.648,75.446,58.924,1,A,female,45+,group1
80.447,83.949,86.609,1,B,female,45+,group2
59.376,60.999,80.282,1,A,male,45+,group2
72.292,87.283,77.042,1,B,male,35-44,group2
64.072,71.844,62.59,1,B,male,18-24,group3
80.437,62.115,75.456,1,A,female,25-34,group3
82.107,66.976,42.905,1,B,female,35-44,group1
75.762,61.252,70.562,1,B,male,18-24,group3
87.405,80.873,61.489,0,B,male,18-24,group2
84.221,76.862,68.206,1,B,female,35-44,group2
100,82.693,61.821,1,A,female,35-44,group2
74.611,94.507,80.322,1,A,female,35-44,group2
76.476,45.914,63.626,1,A,male,18-24,group3
90.462,38.265,67.986,1,B,male,35-44,group3
52.15,36.584,80.231,0,A,female,45+,group1
63.208,52.022,72.424,0,B,female,25-34,group2
90.472,34.513,51.956,1,B,male,45+,group2
44.924,50.224,61.514,1,B,female,35-44,group3
48.02,70.149,51.403,1,A,female,25-34,group2
77.018,63.288,95.221,1,A,male,25-34,group1
100,78.061,65.397,1,A,female,45+,group1
80.388,92.069,62.144,1,B,male,18-24,group2
76.829,56.195,88.252,1,A,female,35-44,group2
88.158,71.886,76.841,0,B,female,45+,group1
86.55,72.651,67.866,1,B,male,35-44,group3
60.555,46.392,86.838,0,B,female,35-44,group1
88.737,51.685,69.741,1,A,female,18-24,group3
83.766,34.822,89.801,1,B,female,25-34,group2
58.695,99.085,78.046,1,B,male,18-24,group1
82.535,83.98,40.198,1,B,female,35-44,group1
79.165,40.118,56.972,0,B,male,45+,group1
67.407,57.765,63.077,1,B,male,18-24,group1
58.388,53.729,77.134,1,A,female,45+,group1
72.633,35.928,73.093,1,A,male,35-44,group2
59.29,70.837,94.032,0,B,male,25-34,group1
41.011,49.78,54.314,0,A,female,18-24,group3
71.053,60.385,56.015,1,B,female,35-44,group3
53.364,61.227,55.327,0,B,female,18-24,group1
65.639,53.601,85.807,1,B,male,18-24,group1
46.696,80.098,55.121,0,B,male,25-34,group2
60.457,70.497,67.274,1,B,female,45+,group1
80.071,74.604,70.485,1,A,male,45+,group1
48.881,76.252,86.016,1,B,female,45+,group3
77.046,100,56.381,1,A,male,35-44,group3
58.08,54.565,59.365,0,A,female,35-44,group3
77.465,23.464,69.239,0,A,female,35-44,group1
59.313,63.109,73.124,1,A,female,35-44,group3
71.222,76.525,63.724,0,B,male,45+,group2
47.317,100,70.688,0,B,male,45+,group1
58.87,75.783,72.994,1,B,female,25-34,group1
100,63.758,82.717,1,A,male,45+,group1
71.809,85.475,46.83,1,B,male,45+,group1
81.554,39.2,77.935,0,A,female,35-44,group1
49.51,76.875,64.954,1,A,female,25-34,group2
57.888,40.297,55.281,0,A,male,18-24,group2
81.189,37.645,75.43,1,B,female,18-24,group1
46.16,28.267,59.703,0,B,female,35-44,group1
91.126,58.38,94.511,1,A,female,18-24,group3
86.111,100,74.017,0,B,female,45+,group2
62.827,38.065,42.218,1,A,male,45+,group2
72.78,50.453,67.048,0,B,male,45+,group3
60.21,80.395,59.498,1,B,female,45+,group2
55.113,52.401,66.404,1,B,female,45+,group2
70.061,39.397,66.553,1,B,female,25-34,group2
53.653,100,65.253,1,B,male,18-24,group2
55.611,69.848,71.967,1,B,male,18-24,group3
56.979,45.229,69.772,1,B,male,18-24,group2
80.27,72.805,43.757,1,A,female,45+,group1
63.636,35.107,45.819,1,B,male,35-44,group3
76.989,64.543,50.946,0,A,female,25-34,group1
65.931,66.807,61.327,1,A,male,18-24,group1
53.256,52.304,50.975,1,B,male,35-44,group3
75.766,65.764,100,0,B,female,25-34,group1
72.233,66.785,96.863,0,A,male,25-34,group3
78.001,80.116,92.471,1,A,female,35-44,group2
91.063,80.198,55.674,1,B,male,45+,group1
92.801,85.993,56.8,1,B,female,35-44,group1
74.893,41.021,71.633,0,B,female,45+,group2
88.822,67.813,59.558,1,B,female,18-24,group3
63.851,80.405,65.166,0,B,female,45+,group3
73.218,80.446,71.107,0,A,female,35-44,group3
79.199,61.976,56.272,1,B,male,25-34,group2
74.511,91.584,83.778,1,B,male,25-34,group3
77.472,84.672,64.279,1,A,male,18-24,group2
62.142,73.275,83.967,1,A,female,35-44,group2
38.058,58.25,65.219,1,A,male,45+,group1
70.571,42.213,91.816,0,B,male,35-44,group1
48.988,94.395,64.534,0,A,female,45+,group2
45.828,38.463,76.936,1,A,female,18-24,group1
63.038,55.211,59.914,1,B,male,18-24,group1
68.857,97.746,60.988,1,A,male,45+,group1
83.936,59.745,63.09,0,B,male,35-44,group3
53.953,74.561,43.529,0,B,female,25-34,group2
76.021,68.615,47.914,1,B,female,45+,group1
45.563,82.942,57.188,1,A,female,35-44,group2
74.438,42.791,82.221,1,A,female,35-44,group2
83.979,30.791,63.933,1,B,male,35-44,group1
62.234,55.151,75.241,1,A,male,35-44,group3
61.6,28.649,52.678,1,A,male,45+,group3
65.44,96.633,74.356,1,B,male,25-34,group1
72.325,69.048,56.275,1,A,male,45+,group3
84.089,63.347,69.371,1,A,female,45+,group2
61.962,95.81,65.419,1,A,female,35-44,group2
44.676,35.897,57.113,1,A,female,35-44,group3
72.99,68.176,82.173,1,A,female,45+,group2
56.27,42.903,59.937,0,B,male,45+,group2
49.586,64.247,34.551,0,B,male,25-34,group1
79.025,75.294,71.664,1,A,female,45+,group2
58.968,75.877,63.064,1,A,male,18-24,group1
66.858,74.841,71.36,0,B,male,35-44,group2
74.349,97.512,62.866,1,B,female,35-44,group2
68.575,57.763,84.296,1,A,male,45+,group3
50.221,64.401,55.463,0,B,male,25-34,group1
73.406,66.945,83.963,1,B,female,45+,group2
62.463,42.392,76.277,1,B,male,18-24,group1
43.963,35.736,63.876,0,A,female,25-34,group3
57.255,46.407,80.915,1,A,male,18-24,group1
64.995,47.248,61.372,0,B,female,35-44,group2
87.38,68.321,65.489,0,B,male,25-34,group2
72.72,64.728,76.063,1,A,male,25-34,group1
77.825,62.245,67.308,1,B,female,18-24,group3
54.896,41.052,88.507,1,A,male,35-44,group2
49.069,63.845,80.533,1,A,female,25-34,group2
64.035,54.022,75.609,0,B,female,45+,group1
63.194,57.403,56.162,0,B,female,25-34,group3
60.77,96.285,67.747,1,A,female,35-44,group3
83.638,22.637,55.214,1,B,male,18-24,group1
51.985,64.848,91.134,0,A,male,35-44,group3
66.602,41.89,65.607,1,A,male,18-24,group1
83.243,30.234,47.503,1,A,male,45+,group1
69.169,100,61.541,1,B,male,45+,group2
82.894,26.671,74.428,0,A,female,18-24,group3
96.574,82.976,59.877,0,B,male,45+,group3
51.807,72.926,58.351,1,B,female,35-44,group2
83.978,57.388,70.498,1,A,female,45+,group2
71.147,41.896,51.977,1,B,female,18-24,group3
43.058,66.264,68.683,0,B,male,18-24,group2
66.817,53.995,69.982,1,B,female,35-44,group3
79.384,70.547,60.885,1,A,female,25-34,group3
63.106,54.1,52.629,0,B,female,18-24,group3
57.228,41.903,77.509,0,B,female,45+,group3
56.772,44.081,68.121,1,B,male,18-24,group3
85.191,54.112,64.355,1,A,female,18-24,group2
82.595,75.335,65.381,1,A,female,45+,group1
64.789,66.646,79.572,0,A,female,18-24,group2
32.219,97.894,63.225,0,A,female,45+,group1
53.152,48.223,74.256,1,A,female,45+,group1
70.898,81.984,62.642,1,B,female,25-34,group1
72.921,67.024,78.335,1,B,female,18-24,group3
54.876,41.101,86.613,0,B,female,18-24,group2
46.822,62.413,71.714,0,A,male,18-24,group2
69.579,39.58,80.707,1,A,female,35-44,group2
82.74,82.151,49.736,1,A,female,18-24,group1
66.086,53.108,62.979,0,A,female,45+,group2
76.628,44.096,82.102,0,A,female,25-34,group3
72.941,51.315,51.241,0,A,female,35-44,group1
64.43,72.459,91.902,1,B,male,35-44,group2
43.314,55.529,62.733,0,A,female,25-34,group2
87.47,100,66.433,1,B,male,25-34,group2
72.754,73.178,87.463,1,A,female,35-44,group2
65.608,77.365,69.347,0,A,female,25-34,group1
77.874,71.282,79.752,1,A,female,25-34,group1
80.566,59.0,71.577,1,A,male,18-24,group2
97.08,72.058,65.019,1,B,female,18-24,group1
47.442,75.965,90.893,1,B,male,35-44,group3
55.071,95.296,78.193,0,B,female,35-44,group1
73.631,40.954,76.88,0,B,female,18-24,group2
81.772,57.404,82.191,1,B,male,45+,group1
38.696,88.654,66.697,1,B,male,35-44,group3
65.8,68.713,84.443,1,A,male,25-34,group2
91.006,80.254,65.271,1,A,male,35-44,group3
86.583,46.735,74.502,1,A,male,35-44,group2
85.067,68.006,69.455,0,B,male,35-44,group2
74.326,70.643,73.123,1,B,female,35-44,group1
61.511,78.43,78.503,1,A,male,25-34,group3
45.759,61.699,82.659,0,A,male,18-24,group2
41.008,62.582,78.335,1,B,female,45+,group3
80.988,45.497,60.769,1,A,male,25-34,group3
77.588,49.299,83.601,1,B,male,18-24,group2
62.063,75.784,61.48,0,A,male,25-34,group3
46.729,78.323,50.032,1,B,male,35-44,group1
83.853,90.29,98.437,1,B,female,18-24,group1
82.564,71.933,57.654,0,B,male,25-34,group2
70.255,59.882,62.201,0,B,female,25-34,group1
100,84.546,67.849,1,B,female,25-34,group1
79.393,54.022,69.001,0,A,male,18-24,group2
79.469,78.592,69.401,0,B,male,25-34,group1
52.133,39.221,79.099,1,A,female,25-34,group2
82.69,100,45.383,1,B,female,45+,group2
77.983,60.056,70.918,1,A,male,45+,group2
45.89,43.613,74.804,0,B,male,35-44,group2
78.796,74.479,86.59,1,B,male,45+,group3
82.706,49.957,67.398,0,A,female,25-34,group2
62.85,77.494,79.268,0,A,male,45+,group3
67.67,86.376,64.695,1,B,male,45+,group1
69.469,55.454,75.442,1,B,male,35-44,group3
59.418,47.36,64.359,0,B,female,25-34,group2
69.597,70.99,62.816,1,B,female,45+,group2
52.445,61.128,91.007,0,A,female,35-44,group1
80.728,65.991,73.626,1,A,male,35-44,group1
76.633,41.135,63.747,1,A,male,18-24,group3
34.642,95.957,70.706,0,B,male,18-24,group3
82.059,75.232,82.667,1,A,male,25-34,group1
67.024,70.369,77.363,1,A,female,18-24,group3
52.34,46.982,82.859,1,A,male,35-44,group3
61.567,63.608,72.18,1,A,female,18-24,group2
72.378,90.903,66.518,1,A,male,25-34,group2
90.02,10.085,70.114,0,A,male,35-44,group3
57.827,87.69,45.66,0,A,male,18-24,group3
91.438,67.02,48.701,0,A,male,25-34,group3
51.525,49.952,55.197,1,B,female,35-44,group1
83.419,65.52,62.806,1,A,female,18-24,group3
80.207,81.091,74.036,1,B,female,18-24,group1
82.832,60.454,89.797,1,A,male,35-44,group1
76.211,51.756,70.849,0,B,male,18-24,group1
87.897,56.536,83.624,1,A,female,45+,group3
62.128,57.567,71.743,1,B,female,25-34,group1
74.731,62.566,58.054,0,A,female,18-24,group2
68.085,79.755,51.149,1,A,male,25-34,group3
75.26,50.399,80.975,1,B,female,35-44,group2
69.265,46.045,96.402,1,B,female,45+,group1
85.396,45.724,73.485,1,A,female,35-44,group2
65.688,53.408,71.108,0,B,female,35-44,group1
67.263,100,56.381,1,B,male,45+,group2
100,27.777,93.038,1,B,male,18-24,group2
94.156,58.509,50.776,1,B,male,35-44,group3
68.368,85.512,81.678,1,A,male,45+,group3
60.823,38.846,75.845,1,A,female,35-44,group3
46.02,33.37,55.116,0,A,female,18-24,group1
80.743,64.725,81.875,0,A,male,25-34,group2
73.249,58.666,47.537,0,B,male,45+,group3
55.401,46.057,100,0,B,female,45+,group3
53.549,74.227,66.453,1,A,female,18-24,group3
84.499,83.17,100,1,A,female,25-34,group2
67.985,32.238,84.266,0,A,female,25-34,group1
100,60.307,83.139,1,B,female,25-34,group1
41.065,67.827,80.993,0,B,female,25-34,group2
68.751,69.535,56.877,1,A,female,25-34,group3
56.513,55.057,64.672,1,B,male,45+,group2
54.656,27.425,45.572,0,A,male,45+,group2
43.209,84.783,72.846,1,A,female,45+,group3
66.344,45.57,56.1,1,B,female,35-44,group2
96.246,56.317,83.159,1,B,female,18-24,group3
69.577,35.628,72.227,0,B,male,25-34,group3
89.647,34.445,68.848,1,B,male,45+,group3
54.718,69.42,58.653,0,A,female,25-34,group2
48.167,67.51,70.357,0,B,female,45+,group1
77.772,100,75.879,1,A,female,45+,group3
67.128,85.45,75.739,1,B,male,25-34,group3
63.076,92.917,60.078,1,B,female,35-44,group1
55.107,46.988,85.744,1,B,male,45+,group3
45.144,90.052,82.218,0,A,male,18-24,group1
88.118,58.281,75.004,1,A,male,25-34,group2
68.06,77.342,38.809,1,B,male,35-44,group2
50.734,60.234,90.582,0,A,female,45+,group1
98.207,58.784,92.704,0,B,male,25-34,group3
76.199,64.439,91.918,1,A,male,35-44,group3
67.504,71.129,68.981,0,A,male,35-44,group3
64.753,24.387,74.496,0,A,female,25-34,group3
36.878,50.297,79.187,1,B,female,18-24,group3
55.147,62.444,66.951,0,B,male,45+,group1
58.051,65.338,51.551,0,B,female,25-34,group2
84.027,86.128,68.001,1,B,male,25-34,group3
76.653,70.163,64.899,0,A,female,35-44,group3
87.884,30.552,100,1,A,male,45+,group3
92.553,55.661,73.207,1,A,female,35-44,group3
57.179,74.243,62.91,0,A,female,18-24,group1
62.407,51.837,58.772,1,A,male,45+,group2
45.936,34.449,72.919,0,A,female,18-24,group2
89.011,73.689,84.623,1,B,male,18-24,group3
56.478,90.35,81.267,1,B,male,25-34,group1
52.867,41.305,67.801,0,A,male,45+,group1
83.96,43.845,85.236,1,A,female,18-24,group1
68.583,77.253,85.272,0,A,female,25-34,group3
55.481,100,88.196,1,A,female,18-24,group3
100,77.387,63.419,1,A,male,18-24,group3
100,32.564,56.852,0,A,male,35-44,group3
56.166,87.305,91.423,1,A,female,18-24,group1
83.438,83.147,79.59,1,A,female,35-44,group2
73.529,90.43,62.843,0,A,male,45+,group1
62.302,6.344,66.996,1,A,female,18-24,group3
58.113,84.172,69.292,1,A,male,25-34,group2
44.187,59.633,59.571,1,A,female,35-44,group1
75.906,63.79,76.287,0,B,male,25-34,group1
79.621,90.952,60.961,1,A,male,18-24,group1
95.84,69.585,72.559,1,B,male,35-44,group3
55.637,36.469,42.567,1,B,female,35-44,group3
57.448,54.573,69.307,1,A,male,18-24,group3
58.134,51.72,73.628,1,B,male,18-24,group3
44.265,71.375,54.224,1,B,female,45+,group2
92.363,30.973,59.907,1,B,female,35-44,group3
75.679,68.147,74.146,0,A,female,25-34,group1
42.118,63.41,53.295,0,B,female,45+,group3
70.454,77.467,94.573,1,A,male,18-24,group3
48.934,30.644,100,0,B,male,25-34,group3
67.799,92.681,59.9,0,A,male,25-34,group3
28.65,61.184,57.912,1,A,female,35-44,group1
75.29,86.037,47.709,1,A,male,25-34,group3
90.596,65.357,45.116,0,B,male,35-44,group1
90.457,49.654,85.24,1,A,male,45+,group1
75.921,57.647,66.048,1,B,female,18-24,group2
73.858,66.812,69.144,0,A,female,45+,group1
57.274,77.172,83.527,1,B,female,45+,group2
55.565,53.351,81.874,1,B,male,25-34,group1
83.518,69.512,68.851,1,A,female,25-34,group2
33.615,44.988,78.418,0,A,male,35-44,group1
64.043,35.711,73.4,0,A,male,45+,group3
60.448,34.259,70.0,1,A,female,25-34,group2
55.071,66.82,82.868,1,B,male,18-24,group2
76.402,100,36.109,1,A,female,35-44,group1
69.523,56.781,67.643,1,B,female,45+,group3
46.176,53.282,76.51,1,A,female,18-24,group1
77.951,99.193,57.522,1,A,male,18-24,group3
81.332,43.688,72.179,1,A,female,35-44,group2
65.161,81.431,59.301,1,B,female,35-44,group2
74.916,64.591,60.342,1,A,female,18-24,group3
82.416,59.541,67.883,1,A,male,25-34,group2
74.806,75.928,48.546,1,A,male,35-44,group3
62.101,61.113,85.486,1,B,female,35-44,group1
81.973,57.268,72.132,0,A,female,25-34,group3
58.962,62.824,80.119,0,B,male,45+,group1
79.983,56.931,39.863,1,B,male,45+,group3
61.669,100,61.377,1,B,female,25-34,group3
100,43.841,66.595,1,A,male,45+,group3
59.485,57.353,88.232,1,B,male,45+,group2
68.471,74.06,60.612,1,A,male,35-44,group2
55.002,61.87,48.639,1,A,female,25-34,group1
38.635,100,64.707,1,A,male,18-24,group3
55.875,54.397,88.963,1,A,female,35-44,group3
